0, 0, 1.
0., -0.666667, 0.745356
0.57735, 0.333333, 0.745356
-0.57735, 0.333333, 0.745356
0.57735, -0.745356, 0.333333
-0.57735, -0.745356, 0.333333
0.356822, 0.872678, 0.333333
0.934172, -0.127322, 0.333333
-0.934172, -0.127322, 0.333333
-0.356822, 0.872678, 0.333333
0.356822, -0.872678, -0.333333
-0.356822, -0.872678, -0.333333
0.57735, 0.745356, -0.333333
0.934172, 0.127322, -0.333333
-0.934172, 0.127322, -0.333333
-0.57735, 0.745356, -0.333333
0.57735, -0.333333, -0.745356
-0.57735, -0.333333, -0.745356
0., 0.666667, -0.745356
0, 0, -1.
